path,type,family,purpose,inputs,outputs,imports,callers,hard_coded_paths,status,uncertainty,syntax
experiments/mumma_281_pipeline_v1/scripts/01_pm25_model_from_final_feature_table.py,py,MUMMA-281,01 pm25 model from final feature table,,experiments/mumma_281_pipeline_v1 | data/processed/final_feature_table.csv,pathlib | json | warnings | numpy | pandas | scipy.stats | sklearn.compose | sklearn.decomposition | sklearn.ensemble | sklearn.impute | sklearn.linear_model | sklearn.metrics | sklearn.model_selection | sklearn.pipeline | sklearn.preprocessing,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/mumma_281_pipeline_v1/scripts/02_engineered_fair_pm25_models.py,py,MUMMA-281,02 engineered fair pm25 models,,experiments/mumma_281_pipeline_v1 | data/processed/final_feature_table.csv,pathlib | json | warnings | numpy | pandas | scipy.stats | sklearn.compose | sklearn.ensemble | sklearn.impute | sklearn.linear_model | sklearn.metrics | sklearn.model_selection | sklearn.pipeline | sklearn.preprocessing,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/mumma_281_pipeline_v1/scripts/03_residual_fusion_pm25.py,py,MUMMA-281,03 residual fusion pm25,,experiments/mumma_281_pipeline_v1 | data/processed/final_feature_table.csv,pathlib | json | warnings | numpy | pandas | scipy.stats | sklearn.compose | sklearn.ensemble | sklearn.impute | sklearn.linear_model | sklearn.metrics | sklearn.model_selection | sklearn.pipeline | sklearn.preprocessing,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/mumma_281_pipeline_v1/scripts/04_fair_model_optimization.py,py,MUMMA-281,04 fair model optimization,,experiments/mumma_281_pipeline_v1 | data/processed/final_feature_table.csv,pathlib | json | warnings | numpy | pandas | scipy.stats | sklearn.compose | sklearn.ensemble | sklearn.impute | sklearn.linear_model | sklearn.metrics | sklearn.model_selection | sklearn.pipeline | sklearn.preprocessing,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/mumma_281_pipeline_v1/scripts/05_temporal_t7_fair_pm25.py,py,MUMMA-281,05 temporal t7 fair pm25,,experiments/mumma_281_pipeline_v1 | data/processed/final_feature_table.csv,pathlib | json | warnings | numpy | pandas | scipy.stats | sklearn.compose | sklearn.ensemble | sklearn.impute | sklearn.linear_model | sklearn.metrics | sklearn.model_selection | sklearn.pipeline | sklearn.preprocessing,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/mumma_281_pipeline_v1/scripts/05b_temporal_t7_random2fold_fair_pm25.py,py,MUMMA-281,05b temporal t7 random2fold fair pm25,,experiments/mumma_281_pipeline_v1 | data/processed/final_feature_table.csv,pathlib | json | warnings | numpy | pandas | scipy.stats | sklearn.compose | sklearn.ensemble | sklearn.impute | sklearn.linear_model | sklearn.metrics | sklearn.model_selection | sklearn.pipeline | sklearn.preprocessing,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/mumma_281_pipeline_v1/scripts/06_extract_resnet50_embeddings.py,py,MUMMA-281,06 extract resnet50 embeddings,,experiments/mumma_281_pipeline_v1 | data/processed/final_feature_table.csv | outputs/preprocessed_frames_v2/run_20260223_114432_8289/lens1 | outputs/figures/idd_detector_annotations,pathlib | argparse | numpy | pandas | PIL | torch | torch.nn | torchvision,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/mumma_281_pipeline_v1/scripts/07_resnet_t7_random2fold_lstm_fair_pm25.py,py,MUMMA-281,07 resnet t7 random2fold lstm fair pm25,experiments/mumma_281_pipeline_v1 | data/processed/final_feature_table.csv,embeddings/mumma281_resnet50_gap_embeddings.npy | embeddings/mumma281_resnet50_gap_index.csv,pathlib | warnings | numpy | pandas | scipy.stats | torch | torch.nn | torch.utils.data | sklearn.decomposition | sklearn.ensemble | sklearn.metrics | sklearn.model_selection | sklearn.preprocessing | sklearn.pipeline | sklearn.impute,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/mumma_281_pipeline_v1/scripts/08_analyse_actual_pm25_data.py,py,MUMMA-281,08 analyse actual pm25 data,,experiments/mumma_281_pipeline_v1 | data/processed/final_feature_table.csv | figures/actual_pm25_analysis,pathlib | numpy | pandas | scipy.stats | sklearn.metrics,,,active or historical; uncertain,medium: inferred from static code and naming,ok
experiments/mumma_v1,directory,MUMMA-legacy/ResNet,Experiment family root (17 files; .csv:13; .md:4),see producing scripts in same family,contains generated artifacts,n/a,n/a,,active or historical; uncertain,low for contents; medium for currency,n/a
experiments/mumma_v1/reports,directory,MUMMA-legacy/ResNet,Generated report/evaluation tree (13 files; .csv:9; .md:4),see producing scripts in same family,contains generated artifacts,n/a,n/a,,legacy results-only,low for contents; medium for currency,n/a
experiments/mumma_v1/reports/pm25_ablation_with_resnet50,directory,MUMMA-legacy/ResNet,Generated report/evaluation tree (3 files; .csv:2; .md:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,legacy results-only,low for contents; medium for currency,n/a
experiments/mumma_v1/reports/pm25_ablation_with_resnet50_chronological,directory,MUMMA-legacy/ResNet,Generated report/evaluation tree (3 files; .csv:2; .md:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,legacy results-only,low for contents; medium for currency,n/a
experiments/mumma_v1/reports/pm25_ablation_with_resnet50_fixed,directory,MUMMA-legacy/ResNet,Generated report/evaluation tree (3 files; .csv:2; .md:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,legacy results-only,low for contents; medium for currency,n/a
experiments/mumma_v1/reports/pm25_ablation_with_resnet50_random,directory,MUMMA-legacy/ResNet,Generated report/evaluation tree (3 files; .csv:2; .md:1),see producing scripts in same family,contains generated artifacts,n/a,n/a,,legacy results-only,low for contents; medium for currency,n/a
models/road_segmentation/best_segformer_b0_idd_binary_road/best_segformer_b0_idd_binary_road/model.safetensors,model_artifact,Road extraction/area,Serialized trained model/checkpoint or preprocessing object; exact contents not deserialized during audit,,,,,,active or historical; uncertain,medium-high: inferred from filename/folder; producer often parameterized,n/a
scripts/archive/road_features_unused/01_preview_road_roi.py,py,Road extraction/area,01 preview road roi,,outputs/features/processed_frame_manifest_preprocessed_v2.csv | outputs/features/road_dust_features_frame_level_v2.csv,pathlib | argparse | cv2 | numpy | pandas,,,archived/superseded,medium: inferred from static code and naming,ok
scripts/archive/road_segmentation_unused/02_preview_hybrid_road_mask.py,py,Road extraction/area,02 preview hybrid road mask,,outputs/features/processed_frame_manifest_preprocessed_v2.csv | outputs/figures/hybrid_road_mask_previews,pathlib | argparse | cv2 | numpy | pandas | torch | PIL | transformers,,,archived/superseded,medium: inferred from static code and naming,ok
scripts/dashboard/road_area_full_validation_dashboard.py,py,Road extraction/area,road area full validation dashboard,,outputs/road_area_lens1_batch/lens1_final_road_area_features_v1.csv | outputs/road_area_lens1_batch/lens1_bbox_nms_conservative_vehicle_occlusion_details.csv | outputs/road_area_lens1_batch/lens1_bbox_visibility_only_occlusion_adjusted_road_area_v2.csv | outputs/road_area_lens1_batch/lens1_bbox_visibility_only_vehicle_occlusion_details_v2.csv | outputs/road_area_lens1_batch/lens1_depth_gated_occlusion_adjusted_road_area_v3.csv | outputs/road_area_lens1_batch/lens1_depth_gated_vehicle_occlusion_details_v3.csv | outputs/road_area_lens1_batch/manual_full_validation_labels_v1_v2_v3.csv,pathlib | pandas | numpy | streamlit | cv2,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/feature_fusion/02_aggregate_road_features_to_sensor_level.py,py,Road extraction/area,02 aggregate road features to sensor level,,data/sensor/MC1S_window_115430_124150.csv | outputs/features/segformer_road_condition_features_frame_level_v2.csv | outputs/features/segformer_road_condition_features_sensor_level_v2.csv,pathlib | argparse | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/00_prepare_single_road_area_sample.py,py,Road extraction/area,00 prepare single road area sample,,outputs/features/processed_frame_manifest_preprocessed_v2.csv | outputs/road_area_inputs,pathlib | argparse | shutil | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/01_calibrate_road_homography.py,py,Road extraction/area,01 calibrate road homography,,,pathlib | argparse | json | cv2 | numpy,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/01_generate_road_mask_for_image.py,py,Road extraction/area,01 generate road mask for image,,models/road_segmentation/best_segformer_b0_idd_binary_road/best_segformer_b0_idd_binary_road,pathlib | argparse | cv2 | numpy | torch | PIL | transformers,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/02_generate_metric_depth_for_image.py,py,Road extraction/area,02 generate metric depth for image,,,pathlib | argparse | cv2 | numpy | torch | PIL | transformers,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/03_visual_check_image_mask_depth.py,py,Road extraction/area,03 visual check image mask depth,,,pathlib | argparse | cv2 | numpy,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/06_area_sensitivity_by_fov.py,py,Road extraction/area,06 area sensitivity by fov,,outputs/road_area_inputs/fov_sensitivity | scripts/road_validation/05_estimate_road_area_from_metric_depth.py,pathlib | argparse | subprocess | math | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/07_vehicle_based_fov_calibration.py,py,Road extraction/area,07 vehicle based fov calibration,,outputs/road_area_inputs/vehicle_fov_calibration.csv | outputs/road_area_inputs/vehicle_fov_calibration_preview.png,pathlib | argparse | math | json | cv2 | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/09_multi_frame_vehicle_calibration.py,py,Road extraction/area,09 multi frame vehicle calibration,scripts/road_validation/05_estimate_road_area_from_metric_depth.py,,pathlib | argparse | cv2 | numpy | pandas | math | subprocess,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/10_batch_lens1_road_area_depth.py,py,Road extraction/area,10 batch lens1 road area depth,models/road_segmentation/best_segformer_b0_idd_binary_road/best_segformer_b0_idd_binary_road,outputs/features/processed_frame_manifest_preprocessed_v2.csv | outputs/road_area_lens1_batch | outputs/road_area_lens1_batch/lens1_depth_estimated_road_area.csv,pathlib | argparse | traceback | cv2 | numpy | pandas | torch | PIL | transformers,scripts/road_area/11c_add_vehicle_footprint_occlusion_area_depth_gated_v3.py,,active or historical; uncertain,low-medium,ok
scripts/road_area/10_filter_object_detections_nms.py,py,Road extraction/area,10 filter object detections nms,,outputs/features/idd_vehicle_detections_object_level_v2.csv | outputs/features/idd_vehicle_detections_object_level_v2_nms.csv,pathlib | argparse | pandas | numpy,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/11_add_vehicle_footprint_occlusion_area.py,py,Road extraction/area,11 add vehicle footprint occlusion area,,,pathlib | argparse | numpy | pandas | cv2,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/11b_add_vehicle_footprint_occlusion_area_bbox_visibility_only_v2.py,py,Road extraction/area,11b add vehicle footprint occlusion area bbox visibility only v2,,outputs/road_area_lens1_batch/lens1_depth_estimated_road_area.csv | outputs/features/idd_vehicle_detections_object_level_lens1_nms_v2.csv | outputs/road_area_lens1_batch/lens1_bbox_visibility_only_occlusion_adjusted_road_area_v2.csv | outputs/road_area_lens1_batch/lens1_bbox_visibility_only_vehicle_occlusion_details_v2.csv,pathlib | argparse | pandas | numpy,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/11c_add_vehicle_footprint_occlusion_area_depth_gated_v3.py,py,Road extraction/area,11c add vehicle footprint occlusion area depth gated v3,,outputs/road_area_lens1_batch/lens1_depth_estimated_road_area.csv | outputs/features/idd_vehicle_detections_object_level_lens1_nms_v2.csv | outputs/road_area_lens1_batch/lens1_depth_gated_occlusion_adjusted_road_area_v3.csv | outputs/road_area_lens1_batch/lens1_depth_gated_vehicle_occlusion_details_v3.csv,pathlib | argparse | cv2 | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/12_make_conservative_occlusion_adjustment.py,py,Road extraction/area,12 make conservative occlusion adjustment,,outputs/road_area_lens1_batch/lens1_bbox_nms_footprint_occlusion_adjusted_road_area.csv | outputs/road_area_lens1_batch/lens1_bbox_nms_vehicle_occlusion_details.csv | outputs/road_area_lens1_batch/lens1_bbox_nms_conservative_occlusion_adjusted_road_area.csv | outputs/road_area_lens1_batch/lens1_bbox_nms_conservative_vehicle_occlusion_details.csv,pathlib | argparse | pandas | numpy,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/13_make_occlusion_audit_pack.py,py,Road extraction/area,13 make occlusion audit pack,,outputs/road_area_lens1_batch/lens1_bbox_nms_conservative_occlusion_adjusted_road_area.csv | outputs/road_area_lens1_batch/lens1_bbox_nms_conservative_vehicle_occlusion_details.csv | outputs/road_area_lens1_batch/masks | outputs/road_area_lens1_batch/occlusion_audit_pack,pathlib | argparse | cv2 | pandas | numpy,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/14_finalize_road_area_features.py,py,Road extraction/area,14 finalize road area features,,outputs/road_area_lens1_batch/lens1_bbox_nms_conservative_occlusion_adjusted_road_area.csv | outputs/road_area_lens1_batch/lens1_final_road_area_features_v1.csv,pathlib | argparse | pandas | numpy,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/15_merge_road_area_features_into_modeling_table.py,py,Road extraction/area,15 merge road area features into modeling table,,outputs/features/particle_density_modeling_table_idd_finetuned_osm_v2.csv | outputs/road_area_lens1_batch/lens1_final_road_area_features_v1.csv | outputs/features/particle_density_modeling_table_idd_finetuned_osm_roadarea_v1.csv | outputs/features/particle_density_modeling_table_idd_finetuned_osm_roadarea_v1_primary_only.csv,pathlib | argparse | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/16_compare_road_area_v1_v2.py,py,Road extraction/area,16 compare road area v1 v2,,outputs/road_area_lens1_batch/lens1_final_road_area_features_v1.csv | outputs/road_area_lens1_batch/lens1_bbox_visibility_only_occlusion_adjusted_road_area_v2.csv | outputs/road_area_lens1_batch/lens1_road_area_v1_v2_comparison.csv,pathlib | argparse | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/17_make_v1_v2_v3_visual_pack.py,py,Road extraction/area,17 make v1 v2 v3 visual pack,,,pathlib | argparse | cv2 | pandas | numpy,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/18_regenerate_v1_v2_v3_visual_pack_from_video.py,py,Road extraction/area,18 regenerate v1 v2 v3 visual pack from video,,,pathlib | argparse | re | subprocess | cv2 | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/20_click_validation_polygon.py,py,Road extraction/area,20 click validation polygon,,,pathlib | argparse | cv2 | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/21_validate_polygon_area_from_depth.py,py,Road extraction/area,21 validate polygon area from depth,,,pathlib | argparse | cv2 | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_area/22_batch_validate_polygon_area_from_depth.py,py,Road extraction/area,22 batch validate polygon area from depth,,,pathlib | argparse | cv2 | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_segmentation/01_preview_pretrained_road_segmentation.py,py,Road extraction/area,01 preview pretrained road segmentation,models/road_segmentation/best_segformer_b0_idd_binary_road/best_segformer_b0_idd_binary_road,outputs/features/processed_frame_manifest_preprocessed_v2.csv | outputs/figures/road_segmentation_previews_cleaned,pathlib | argparse | cv2 | numpy | pandas | torch | PIL | transformers,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_segmentation/03_extract_segformer_road_condition_features.py,py,Road extraction/area,03 extract segformer road condition features,models/road_segmentation/best_segformer_b0_idd_binary_road/best_segformer_b0_idd_binary_road,outputs/features/processed_frame_manifest_preprocessed_v2.csv | outputs/features/segformer_road_condition_features_frame_level_v2.csv,pathlib | argparse | cv2 | numpy | pandas | torch | PIL | transformers,experiments/traqid_pretraining_v1/pipeline_validation/scripts/09_build_traqid_road_manifest.py,,active or historical; uncertain,low-medium,ok
scripts/road_validation/01_generate_road_feature_validation_pack.py,py,Road extraction/area,01 generate road feature validation pack,,outputs/features/processed_frame_manifest_preprocessed_v2.csv | models/road_segmentation/ | outputs/validation/road_feature_validation_pack_v1 | outputs/validation/road_feature_validation_pack_v1/manual_label_sheet.csv,pathlib | argparse | cv2 | numpy | pandas | torch | PIL | transformers,,,active or historical; uncertain,medium: inferred from static code and naming,ok
scripts/road_validation/04_extract_image_only_road_exposure_features.py,py,Road extraction/area,04 extract image only road exposure features,,outputs/validation/road_feature_validation_pack_v1/manual_label_sheet.csv | outputs/validation/road_feature_validation_pack_v1/masks | outputs/validation/road_feature_validation_pack_v1/image_only_road_exposure_features.csv,pathlib | argparse | cv2 | numpy | pandas,,,active or historical; uncertain,medium: inferred from static code and naming,ok
